income_year,sex,taxable_status,age_range,taxable_income_range,tax_bracket,tax_bracket_range,individuals_count,salary_wages_count,salary_wages_amount,total_income_count,total_income_amount,car_expenses_count,car_expenses_amount,travel_expenses_count,travel_expenses_amount,uniform_expenses_count,uniform_expenses_amount,education_expenses_count,education_expenses_amount,other_work_expenses_count,other_work_expenses_amount,donations_count,donations_amount,tax_affairs_count,tax_affairs_amount,ato_interest_count,ato_interest_amount,litigation_count,litigation_amount,other_tax_affairs_count,other_tax_affairs_amount,total_deductions_count,total_deductions_amount,capital_gains_count,capital_gains_amount,rent_profit_count,rent_profit_amount,rent_loss_count,rent_loss_amount,net_rent_count,net_rent_amount,business_income_count,business_income_amount,business_expenses_count,business_expenses_amount,net_business_count,net_business_amount,taxable_income_count,taxable_income_amount,net_tax_count,net_tax_amount
2010–11,All,All,99. all ranges,Z99. all ranges,All,All ranges,205.0,55.0,2093498.0,205.0,26424973.0,5.0,5975.0,10.0,9755.0,30.0,17178.0,10.0,23821.0,40.0,35596.0,60.0,80656.0,100.0,78602.0,,,,,,,145.0,568973.0,15.0,670912.0,20.0,96615.0,35.0,-495613.0,55.0,-398998.0,5.0,96113.0,5.0,140001.0,5.0,-47801.0,205.0,25809376.0,205.0,2689158.0
2011–12,All,All,99. all ranges,Z99. all ranges,All,All ranges,210.0,65.0,2428647.0,210.0,46177542.0,10.0,29013.0,15.0,38656.0,20.0,5653.0,5.0,37948.0,50.0,115947.0,65.0,527076.0,115.0,299301.0,,,,,,,155.0,1579322.0,10.0,1258138.0,25.0,116048.0,50.0,-707979.0,70.0,-591931.0,15.0,591169.0,15.0,974439.0,20.0,-958977.0,210.0,44492129.0,10.0,2115309.0
