income_year,sex,taxable_status,age_range,taxable_income_range,tax_bracket,tax_bracket_range,individuals_count,salary_wages_count,salary_wages_amount,total_income_count,total_income_amount,car_expenses_count,car_expenses_amount,travel_expenses_count,travel_expenses_amount,uniform_expenses_count,uniform_expenses_amount,education_expenses_count,education_expenses_amount,other_work_expenses_count,other_work_expenses_amount,donations_count,donations_amount,tax_affairs_count,tax_affairs_amount,ato_interest_count,ato_interest_amount,litigation_count,litigation_amount,other_tax_affairs_count,other_tax_affairs_amount,total_deductions_count,total_deductions_amount,capital_gains_count,capital_gains_amount,rent_profit_count,rent_profit_amount,rent_loss_count,rent_loss_amount,net_rent_count,net_rent_amount,business_income_count,business_income_amount,business_expenses_count,business_expenses_amount,net_business_count,net_business_amount,taxable_income_count,taxable_income_amount,net_tax_count,net_tax_amount
2013–14,Female,Taxable,06. 45 - 49,"B00018201. $18,201 to $25,000",2,"$18,201 to $37,000",32636.0,27288.0,596509897.0,32636.0,786119630.0,7288.0,12973579.0,1358.0,1117433.0,17690.0,4361043.0,1248.0,1860967.0,16554.0,8837371.0,10914.0,2498268.0,14982.0,3292356.0,,,,,,,27603.0,40417920.0,1091.0,4560820.0,1963.0,14999774.0,3072.0,-19176928.0,5035.0,-4177154.0,3897.0,167189177.0,3813.0,116448171.0,3966.0,48434605.0,32636.0,743303293.0,32636.0,19883481.0
2013–14,Female,Taxable,06. 45 - 49,"B00025001. $25,001 to $30,000",2,"$18,201 to $37,000",39224.0,34726.0,927062591.0,39224.0,1137394069.0,9962.0,17539312.0,2048.0,1630667.0,23578.0,6031263.0,1651.0,2450104.0,22288.0,12870901.0,14524.0,3205893.0,19889.0,4122418.0,,,,,,,34797.0,54370676.0,1435.0,7016380.0,2001.0,13750086.0,3847.0,-23205696.0,5848.0,-9455610.0,3600.0,183574722.0,3549.0,129903312.0,3675.0,51313065.0,39224.0,1080289170.0,39224.0,64072320.0
2013–14,Female,Taxable,06. 45 - 49,"B00030001. $30,001 to $37,000",2,"$18,201 to $37,000",62763.0,56846.0,1860058672.0,62763.0,2210855419.0,16970.0,29364875.0,3513.0,2877520.0,39539.0,10393916.0,2714.0,3670834.0,38053.0,23625574.0,25217.0,5918653.0,33758.0,7072146.0,,,,,,,57179.0,96999693.0,2271.0,11112127.0,3235.0,21502496.0,6419.0,-40087197.0,9654.0,-18584701.0,4756.0,224308926.0,4683.0,144164455.0,4850.0,76838061.0,62763.0,2111288934.0,62763.0,178453504.0
2013–14,Female,Taxable,06. 45 - 49,"B00037001. $37,001 to $40,000",3,"$37,001 to $80,000",28243.0,26089.0,985764692.0,28243.0,1134972733.0,8221.0,14107363.0,1829.0,1534385.0,18439.0,4999536.0,1328.0,1896777.0,18145.0,11927858.0,12170.0,2945475.0,16037.0,3603009.0,,,,,,,26270.0,47143200.0,970.0,5667443.0,1456.0,9529475.0,2943.0,-18752046.0,4399.0,-9222571.0,1734.0,89118794.0,1687.0,59623657.0,1788.0,28683994.0,28243.0,1086670430.0,28243.0,114744384.0
2013–14,Female,Taxable,06. 45 - 49,"B00040001. $40,001 to $45,000",3,"$37,001 to $80,000",43976.0,41234.0,1730486725.0,43976.0,1944746781.0,13945.0,23336827.0,3174.0,2567302.0,29217.0,7975263.0,2043.0,2821404.0,29256.0,20310573.0,19813.0,4810817.0,25507.0,5429284.0,,,,,,,41288.0,76930511.0,1632.0,8193604.0,2320.0,14878360.0,4702.0,-30800446.0,7022.0,-15922086.0,2415.0,130481022.0,2394.0,83199569.0,2520.0,45379188.0,43976.0,1866985144.0,43976.0,242454790.0
2013–14,Female,Taxable,06. 45 - 49,"B00045001. $45,001 to $50,000",3,"$37,001 to $80,000",38222.0,35946.0,1683791692.0,38222.0,1889356151.0,12740.0,22584820.0,3232.0,2782496.0,24705.0,6693957.0,1856.0,2765432.0,26086.0,20084279.0,18040.0,4725124.0,22144.0,4892554.0,,,,,,,36068.0,74318708.0,1590.0,9219092.0,2036.0,13747490.0,4527.0,-30065019.0,6563.0,-16317529.0,2067.0,131155931.0,2047.0,89397677.0,2154.0,40061053.0,38222.0,1813197276.0,38222.0,279507035.0
2013–14,Female,Taxable,06. 45 - 49,"B00050001. $50,001 to $55,000",3,"$37,001 to $80,000",32534.0,30787.0,1591766930.0,32534.0,1774237255.0,11387.0,20199893.0,3103.0,2571529.0,20088.0,5324495.0,1702.0,2638861.0,22930.0,19140500.0,15906.0,4307614.0,19003.0,4469993.0,,,,,,,30823.0,67718061.0,1557.0,9390180.0,2008.0,13839859.0,4095.0,-28702902.0,6103.0,-14863043.0,1687.0,98399762.0,1674.0,64759481.0,1763.0,31172120.0,32534.0,1705871559.0,32534.0,295649250.0
2013–14,Female,Taxable,06. 45 - 49,"B00055001. $55,001 to $60,000",3,"$37,001 to $80,000",27678.0,26149.0,1475392910.0,27678.0,1653520184.0,9751.0,18123061.0,2921.0,2525555.0,16271.0,4214607.0,1450.0,2257932.0,19954.0,18432897.0,13931.0,4090926.0,16160.0,3973271.0,,,,,,,26259.0,63011414.0,1299.0,8594295.0,1803.0,12662054.0,3813.0,-26733354.0,5616.0,-14071300.0,1512.0,159092505.0,1504.0,123956272.0,1586.0,33748532.0,27678.0,1589930039.0,27678.0,300407217.0
2013–14,Female,Taxable,06. 45 - 49,"B00060001. $60,001 to $70,000",3,"$37,001 to $80,000",45600.0,43133.0,2737654117.0,45600.0,3072780470.0,16362.0,30542107.0,5629.0,5557175.0,25237.0,6522338.0,2585.0,4472642.0,33738.0,35685043.0,23962.0,7947180.0,26754.0,6980168.0,,,,,,,43266.0,116033119.0,2479.0,20443167.0,3079.0,21925823.0,6926.0,-52242110.0,10005.0,-30316287.0,2443.0,164155458.0,2427.0,106664496.0,2597.0,54470001.0,45600.0,2955268069.0,45600.0,613551174.0
2013–14,Female,Taxable,06. 45 - 49,"B00070001. $70,001 to $80,000",3,"$37,001 to $80,000",38570.0,35861.0,2554037183.0,38570.0,3011026017.0,13788.0,27688689.0,5459.0,5860076.0,18993.0,4833758.0,2140.0,3754251.0,28827.0,34818660.0,20373.0,8082432.0,22277.0,6367872.0,,,,,,,36480.0,114697955.0,2394.0,23494700.0,2966.0,23545943.0,6458.0,-51001857.0,9424.0,-27455914.0,1971.0,148490299.0,1980.0,98369349.0,2097.0,46786902.0,38570.0,2894102926.0,38570.0,654077072.0
